12054534948,16320-8,1/21/13,a02d0000006sB9fAAE
12014794368,01790-2,1/14/13,a02d0000007FspjAAC
16789998755,19450-1,12/10/12,a02d0000007FsdQAAS
15084990314,14241-1,1/21/13,a02d0000009hNlvAAE
14806966864,01250-1,1/7/13,a02d0000007FsqcAAC
12018446730,01790-1,12/3/12,a02d0000007FsiWAAS
19373034795,03930-3,12/3/12,a02d0000006sB4zAAE
18884538424,03930-1,10/8/12,a02d0000006sB4kAAE
14094202848,19653-1,6/25/12,a02d0000005WerRAAS
19734409239,10600-1,6/25/12,a02d0000005Wei8AAC
19562846676,12126-3,9/10/12,a02d0000005WerMAAS
19735124824,10600-2,8/6/12,a02d0000005WeiDAAS
17203582994,04027-3,10/22/12,a02d0000005WeiOAAS
19203546529,06625-1,1/7/13,a02d0000007DVKQAA4
19373030988,03930-4,1/7/13,a02d0000007DUa5AAG
19188764442,16676-7,11/5/12,a02d0000007DVGxAAO
15596643444,02090-19,1/7/13,a02d0000007DVEXAA4
15596643448,02090-18,12/3/12,a02d0000007DVESAA4
19794884050,02576-2,1/1/30,a02d0000007DV9NAAW
13024499337,04070-22,1/14/13,a02d0000007g3xVAAQ
16504580220,19620-2 Adult Office,12/3/12,a02d0000007g3uWAAQ
18779967563,06630-1,1/7/13,a02d0000007DVMCAA4
14356714094,16710-64.1,11/12/12,a02d0000007FsmQAAS
16782697655,19450-2,1/14/13,a02d0000007FsdVAAS
13232714218,04045-1,11/12/12,a02d0000007FsbvAAC
12818154253,01650.11007-17,12/3/12,a02d0000007DJhTAAW
17033490446,11435-1,10/29/12,a02d0000007DJr8AAG
12039030409,25050-3,1/7/13,a02d0000007DJyPAAW
19562677659,12126-1,7/9/12,a02d0000005WerCAAS
19738665592,10603-1,6/25/12,a02d0000005WehtAAC
13024499337,04070-21,1/7/13,a02d0000007g3xLAAQ
17039577106,12440-8,1/14/13,a02d0000007DcudAAC
19727930978,22410-18 Richardson,12/3/12,a02d0000007DdKHAA0
17409198714,16030-9,1/7/13,a02d0000007Dd4OAAS
12146665327,22410-18 Dallas,12/3/12,a02d0000007DdK7AAK
16265874447,18555-5,1/14/13,a02d0000007cmUBAAY
19562675895,12126-2,8/13/12,a02d0000005WerHAAS
14094202854,19653-2,7/30/12,a02d0000005WerWAAS
15709156479,09430-4,1/7/13,a02d0000009eed5AAA
14694442604,03663.09670-1,1/21/13,a02d0000009eeNHAAY
17274780804,20724-1,12/3/12,a02d0000007DeZkAAK
14804781918,04349-1,11/12/12,a02d0000007DeblAAC
16265931549,16313-1 Spanish,11/6/12,a02d0000007DeQHAA0
19252302270,16840-1,1/7/13,a02d0000007eU94AAE
17276450209,20724-2,1/21/13,a02d0000007DeZuAAK
14805255181,04349-2,1/7/13,a02d0000007DebqAAC
12038151955,04290-1,1/21/13,a02d0000007cmhXAAQ
14804781371,09560.01810-6,12/3/12,a02d0000007DfaSAAS
13609808539,09560.02740-6,12/3/12,a02d0000007DfahAAC
14052615641,09560.03660-7,12/3/12,a02d0000007DfaoAAC
19524666554,23525-1,11/12/12,a02d0000007DfOrAAK
12536934332,09560.14615-9,12/3/12,a02d0000007DfcxAAC
14694442177,03663.19580-1,1/21/13,a02d0000009eeD9AAI
19529559302,23525-3,1/14/13,a02d0000007DfP1AAK
12533364411,09560.12050-9,12/3/12,a02d0000007Dfc9AAC
19712385088,09560.16690-8,12/3/12,a02d0000007Dfd2AAC
15038226787,09560.01030-7,12/3/12,a02d0000007DfXUAA0
19712024222,09560.12610-9,12/3/12,a02d0000007DfcJAAS
19529554504,23525-2,12/10/12,a02d0000007DfOwAAK
19712381146,09560.04660-4,12/3/12,a02d0000007DfbGAAS
16463928122,02095-1,1/21/13,a02d0000009fsu4AAA
13105077657,18050-23,1/7/13,a02d0000009eeaHAAQ
15038945490,09560.13410-9,12/3/12,a02d0000007DfceAAC
